COD,NOME,�REA,CC,DATA,HORA
000000044,,,8115,31/01/2025,10:43
000000090,,,8115,31/01/2025,10:43
000000019,,,8115,31/01/2025,10:43
000000096,,,8115,31/01/2025,10:44
000000041,,,8115,29/01/2025,10:44
000000135,,,8115,30/01/2025,10:44
000000041,,,8115,30/01/2025,10:45
000000090,,,8115,29/01/2025,10:45
000000091,,,8115,30/01/2025,10:45
000000042,,,8115,31/01/2025,10:46
000000019,,,8115,29/01/2025,10:46
000000135,,,8115,31/01/2025,10:46
000000112,,,6915,31/01/2025,10:51
000000020,,,8115,30/01/2025,10:53
000000085,,,8114,31/01/2025,10:56
000000128,,,8115,29/01/2025,10:59
000000032,,,8114,31/01/2025,11:00
000000097,,,8115,30/01/2025,11:02
000000062,,,8115,31/01/2025,11:02
000000129,,,8115,30/01/2025,11:02
000000132,,,8115,30/01/2025,11:05
000000171,,,8515,29/01/2025,11:05
000000171,,,8515,31/01/2025,11:05
000000172,,,6914,29/01/2025,11:06
000000030,,,8103,30/01/2025,11:07
000000170,,,8115,31/01/2025,11:07
000000136,,,8103,29/01/2025,11:07
000000043,,,8121,31/01/2025,11:09
000000168,,,8515,31/01/2025,11:09
000000112,,,6915,29/01/2025,11:09
000000172,,,6914,30/01/2025,11:09
000000144,,,6915,30/01/2025,11:10
000000049,,,8121,30/01/2025,11:11
000000098,,,8115,29/01/2025,11:12
000000017,,,8121,31/01/2025,11:12
000000001,,,8121,31/01/2025,11:13
000000129,,,8115,31/01/2025,11:13
000000142,,,8121,30/01/2025,11:13
000000062,,,8115,29/01/2025,11:14
000000016,,,8115,30/01/2025,11:16
000000192,,,8114,31/01/2025,11:18
000000002,,,8114,31/01/2025,11:18
000000044,,,8115,30/01/2025,11:20
000000086,,,8114,30/01/2025,11:20
000000084,,,6914,31/01/2025,11:20
000000017,,,8121,29/01/2025,11:21
000000016,,,8115,29/01/2025,11:21
000000016,,,8115,31/01/2025,11:21
000000186,,,8121,30/01/2025,11:21
000000187,,,8121,31/01/2025,11:22
000000086,,,8114,29/01/2025,11:22
000000089,,,8121,31/01/2025,11:24
000000002,,,8114,29/01/2025,11:25
000000086,,,6910,29/01/2025,11:26
000000017,,,8121,30/01/2025,11:27
000000084,,,6914,29/01/2025,11:27
000000089,,,8121,30/01/2025,11:28
000000098,,,8115,31/01/2025,11:29
000000099,,,8115,30/01/2025,11:29
000000083,,,8121,31/01/2025,11:31
000000080,,,8110,31/01/2025,11:31
000000029,,,8110,31/01/2025,11:31
000000032,,,8114,29/01/2025,11:32
000000095,,,8121,31/01/2025,11:32
000000058,,,8115,29/01/2025,11:32
000000121,,,8114,31/01/2025,11:33
000000029,,,8110,29/01/2025,11:33
000000091,,,8114,30/01/2025,11:34
000000169,,,8515,30/01/2025,11:35
000000095,,,8121,30/01/2025,11:36
000000084,,,8121,30/01/2025,11:37
000000158,,,8115,30/01/2025,11:37
000000092,,,8121,30/01/2025,11:37
000000023,,,8115,30/01/2025,11:37
000000085,,,6914,30/01/2025,11:37
000000144,,,6915,29/01/2025,11:37
000000093,,,8121,31/01/2025,11:38
000000105,,,8115,31/01/2025,11:39
000000064,,,8115,31/01/2025,11:40
000000045,,,8115,31/01/2025,11:40
000000173,,,6914,31/01/2025,11:40
000000087,,,6910,31/01/2025,11:40
000000002,,,8114,30/01/2025,11:41
000000126,,,6911,30/01/2025,11:41
000000105,,,8115,30/01/2025,11:42
000000033,,,6914,30/01/2025,11:42
000000081,,,8110,30/01/2025,11:43
000000027,,,8106,30/01/2025,11:43
000000071,,,8114,31/01/2025,11:44
000000025,,,8115,30/01/2025,11:45
000000144,,,6915,31/01/2025,11:45
000000181,,,8121,30/01/2025,11:46
000000001,,,8121,30/01/2025,11:47
000000157,,,8114,30/01/2025,11:47
000000169,,,8515,29/01/2025,11:47
000000050,,,8115,29/01/2025,11:48
000000158,,,8115,31/01/2025,11:48
000000178,,,8121,29/01/2025,11:48
000000176,,,8115,30/01/2025,11:49
000000024,,,8115,31/01/2025,11:49
000000082,,,8114,29/01/2025,11:49
000000182,,,8121,29/01/2025,11:49
000000143,,,8121,29/01/2025,11:49
000000137,,,8121,29/01/2025,11:49
000000055,,,6515,30/01/2025,11:49
000000123,,,6521,29/01/2025,11:49
000000176,,,8115,29/01/2025,11:50
000000178,,,8121,30/01/2025,11:50
000000131,,,8115,30/01/2025,11:50
000000182,,,8121,29/01/2025,11:50
000000138,,,8121,30/01/2025,11:50
000000138,,,8121,30/01/2025,11:50
000000126,,,6911,31/01/2025,11:50
000000123,,,6521,30/01/2025,11:50
000000081,,,8115,30/01/2025,11:51
000000167,,,8115,31/01/2025,11:51
000000180,,,8115,30/01/2025,11:51
000000110,,,8515,29/01/2025,11:51
000000055,,,6515,29/01/2025,11:51
000000052,,,6510,29/01/2025,11:51
000000081,,,8115,31/01/2025,11:52
000000153,,,8103,30/01/2025,11:52
000000100,,,6911,31/01/2025,11:52
000000180,,,8115,31/01/2025,11:53
000000152,,,8111,29/01/2025,11:53
000000117,,,8111,29/01/2025,11:53
000000118,,,8111,31/01/2025,11:53
000000162,,,8111,29/01/2025,11:53
000000059,,,6911,29/01/2025,11:53
000000060,,,6911,30/01/2025,11:53
000000076,,,6911,29/01/2025,11:53
000000100,,,6911,29/01/2025,11:53
000000154,,,8111,29/01/2025,11:54
000000177,,,8115,31/01/2025,11:54
000000152,,,8111,31/01/2025,11:54
000000157,,,8114,31/01/2025,11:54
000000179,,,8121,31/01/2025,11:54
000000179,,,8121,31/01/2025,11:54
000000072,,,8114,29/01/2025,11:54
000000063,,,6910,29/01/2025,11:54
000000167,,,8115,30/01/2025,11:55
000000153,,,8111,30/01/2025,11:55
000000183,,,8121,31/01/2025,11:55
000000060,,,6911,31/01/2025,11:55
000000077,,,6911,30/01/2025,11:55
000000077,,,6911,31/01/2025,11:55
000000112,,,6911,31/01/2025,11:55
000000101,,,6911,30/01/2025,11:55
000000053,,,8103,29/01/2025,11:56
000000188,,,8114,31/01/2025,11:56
000000189,,,8114,31/01/2025,11:56
000000163,,,8111,31/01/2025,11:56
000000173,,,8114,29/01/2025,11:56
000000172,,,8515,30/01/2025,11:56
000000088,,,8103,29/01/2025,11:56
000000134,,,6515,30/01/2025,11:56
