;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TOTAL;Valor total;%
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0; R$ -   ;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0; R$ -   ;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0; R$ -   ;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0; R$ -   ;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0; R$ -   ;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0; R$ -   ;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0; R$ -   ;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0; R$ -   ;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0; R$ -   ;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0; R$ -   ;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0; R$ -   ;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0; R$ -   ;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0; R$ -   ;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0; R$ -   ;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0; R$ -   ;#DIV/0!
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; R$ -   ;#DIV/0!
