DPT,29/01/2025,30/01/2025,31/01/2025,Total,Valor total,%
6510,3,3,1,7,R$ 140.00,%0.02
6515,7,6,3,16,R$ 320.00,%0.03
6521,1,1,2,4,R$ 80.00,%0.01
6910,4,4,2,10,R$ 200.00,%0.02
6911,4,4,5,13,R$ 260.00,%0.03
6914,7,7,7,21,R$ 420.00,%0.05
6915,3,2,3,8,R$ 160.00,%0.02
8103,20,19,11,50,R$ 1000.00,%0.11
8106,7,2,6,15,R$ 300.00,%0.03
8110,7,8,5,20,R$ 400.00,%0.04
8111,5,5,5,15,R$ 300.00,%0.03
8114,18,22,23,63,R$ 1260.00,%0.14
8115,45,58,56,159,R$ 3180.00,%0.34
8121,10,21,20,51,R$ 1020.00,%0.11
8515,4,3,3,10,R$ 200.00,%0.02
0,145,165,152,462,9240.00,%100.0
,,,,,,
